Address,Latitude,Longitude
"Arogya Ortho & GyNae clinic, E-20, LGF, GK-II, ND-48",45.6127424,-121.1751185
"kalindi Hospital, Pocket-1/89, Jasola vihar, ND-25",28.540108,77.2922602
"samayak hospital, BM-8, shaheed udham singh, shalimar bagh-88",28.7076727,77.1623541
"Dr. usha goel, C 84, main road, Block C, Ganga Vihar, Gokalpuri, Delhi, 110094",28.7063608,77.2807953
"sundar lal memorial hospital, D-254, Dilshad Garden, Near Gududwada, New Delhi, Delhi 110095",28.6787669,77.3138578
"Dr..fatima bushra clinic, 37/1j-extension ramesh park laxmi negar delhi-92",28.6370961,77.2709581
"Dr..punita gupta, 1/4982,60 feet road balbir negar,loNa road,shahDr.a,delhi 110032",28.6693927,77.3098254
"rajdhani hospital, C-96, New Ashok Nagar Rd, Block B, New Ashok Nagar, New Delhi, Uttar Pradesh 110096",28.5950104,77.3040659
"jp memorial hospital, FF 189, Block F, Dilshad Colony, Delhi, Uttar Pradesh 110095",28.684695,77.3273875
"jivan anmol hospital, Patparganj Rd, Pocket 4, Pratap Nagar, Mayur Vihar, Delhi, 110091",28.6059874,77.2928302
"Dr. mamta thakur clinic, G-223, Block G, Old Seemapuri, Delhi, Uttar Pradesh 110095",28.6961018,77.3266493
"rajrani hospital, Plot Na.D-3, Main Market Old Kondli, New Delhi, Delhi 110096",28.61371,77.3207711
"sankhwar hospital, D-134, caNal road, Kondli Extension, Kondli, Delhi, 110096",28.6151084,77.3212178
"Dr..rakhi rawat, Plot Na.D-3, Main Market Old Kondli, New Delhi, Delhi 110096",28.5750798,77.3168898
"suraksha nursing home, Suraksha Nursing Home, E - 22, Dilshad Colony, New Delhi, Delhi 110095",28.6870361,77.3223325
"karuNa hospital, D-62, Pocket E, Dilshad Colony New Simapuri, Dilshad Colony, New Delhi, Delhi 110095",28.6890659,77.3206309
"Dr..manju sharma, b47 gali Na6 joshy colony",27.7756404,75.8511355
"Dr..rukmani dogra clinic, 71-A/1, KrishNa Nagar, Delhi - 110051, Near Rashid Market",28.6476466,77.2788736
"gupta nursing home, 25, Raj Block, Navin Shahdara, West Rohtash Nagar, Delhi, 110032",28.6760844,77.2853053
"gangaram hospital, Sir Ganga Ram Hospital Marg, Old Rajinder Nagar, New Rajinder Nagar, New Delhi, Delhi 110060",28.6385473,77.1881684
"Dr. firdos parveen, rashisd market",45.5519617,-121.1752462
"goel hospital, E-4/8, KrishNa Nagar, near Lajpat Rai Chowk, New Delhi, Delhi 110051",28.6611623,77.2798484
"Cribs Hospital, F-2, 40 foot road, Abul fazal enclave ND-25",28.5461247,77.2949183
"Dr. sonu rani clinic, Gharoli Main Rd, Kondli Extension, Kondli, Delhi, 110096",28.6134768,77.3208
"Iqbal Faziy Hospital, B-43, okhla vihar, Jamia Nagar, ND-25",30.4871281,-56.2569247
"iqbal faizy hospital, B-43, okhla vihar, Jamia Nagar, ND-25",30.4871281,-56.2569247
"Phoenix Hospital, E-60 GK new delhi",28.5499518,77.2416753
"Phoenix Hospital, E-60 GK new delhi",28.5499518,77.2416753
"Phoenix Hospital, E-60 GK new delhi",28.5499518,77.2416753
"haleem medical center, block-C, jamia Nagar okhla-ND-25",28.5484897,77.2978748
"sadique meditech healthcare center, c- block,okhla vihar ND-25",30.4801398,-56.2448992
"MI heart & women healthcare clinic, C-36, pocket-C market sarita vihar",28.5316442,77.2920192
"manisha clinic, C-48, sarita vihar, ND-25",28.5313384,77.2894678
"Mamta clinic, C-141, Sarita vihar ND-25",28.5313937,77.2900069
"Bansal hospital, A-1, new Friends colony ND-25",28.5650464,77.2688631
"Bansal hospital, A-1, new Friends colony ND-25",28.5650464,77.2688631
"rita clinic, C-558, NFC, ND-65",47.6123156,-122.3160885
"The Specialist Clinic, 47, Harsh Vihar Pritampura",28.6962216,77.1344276
"orange klinic, A-8, lok vihar, pritampura, delhi-34",28.4410169,77.0578269
"saransh polyclinic, 2949, sant Nagar, rani bagh, ND-34",28.688768,77.1299666
"bedi clinic, 43/3 east patel Nagar ND-110008",28.6468387,77.1733885
"jeewan nursing home, pusa road-ND-05",28.6435874,77.1854762
"goel clinic, M/179,greater kailash ND-48",28.5334951,77.2424135
"pramod's medicare, E-352, GK-II, ND-45",28.5828997,77.1190752
"pulse medical center, S-77, GK-II, ND-48",28.5343519,77.2429439
"Rashad hospital, new friends colony ND-25",28.5691618,77.2727947
"raiz medical center, okhla vihar jamia Nagar-ND-25",28.5540078,77.2886504
"Rejoice hospital, lajpat Nagar, ND-24",28.5644313,77.2472907
"F.M Hospital, F block ,okhla, ND-25",30.4801398,-56.2448992
"Jeevan Hospital 2, Maharani Bagh",28.5774792,77.2579263
"DKMC, ali extn, sarita vihar",28.520539,77.3051851
"Ahuja hospital, greater kailash ND-48",28.5280912,77.2175752
"pulse medical center, 1992, banda bahadur marg, mukherjee Nagar ND-09",28.7019184,77.2031089
"care medi center, hakikat Nagar",28.6833627,77.2034722
"sadaNa clinic, 3, hakikat Nagar ,Gtb Nagar ND-09",28.6980407,77.2051617
"sanjeevni nursing home, D-13, kamla Nagar, ND-07",28.6815078,77.1980847
"LNJP hospital, darya ganj ND-68",28.6590348,77.2141786
"Dr gupta & maternity hospital, 84, daryaganj ND-06",28.64435,77.2398027
"goel clinic, G-20,sarita vihar ND-25",28.5311608,77.2917276
"Mommy and Me Clinic, F 12 CR Park ",28.5346574,77.2518161
"khanNa nursing home, 217, adarsh Nagar, ND-33",28.7183721,77.166131
"tyagi hospital, 210,adarsh Nagar ND-33",28.7187981,77.1656084
"Aakash Hopsital, 90/43 Malviya Nagar",28.5350398,77.2122484
"rawat clinic, J-203, dakshin puri ND-62",28.5320398,77.243097
"Dr sunderlal memorial hopsital, c-201, khanpur, ND-62",28.506293,77.2291101
"Ahuja hospital, krishNa park,khanpur, ND-62",28.5066033,77.2303523
"Ashok nursing home, F-3/13-16, vijay chowk, krishNa Nagar ND-51",28.6596015,77.2810608
"Mehra medicare, F-15/10, krishNa Nagar ND-51",28.6589984,77.2849975
"Hitesh hospital, pritampura new delhi-51",28.6969249,77.0973648
"Panchwati clinic, pritampura new delhi-51",28.6182277,77.1231811
"gyNae center, pritampura new delhi-51",28.6885512,77.1284104
"veeNa nursing home, A-1/3 rohini delhi-85",28.698799,77.1161887
"manNa clinic & maternity home, 1367, rani bagh, delhi-34",28.68557,77.1291278
"kuber hospital, 12, chander lok,pritampura ND-34",28.6900516,77.1332006
"krishNa hospital, pritampura new delhi-51",28.690262,77.1330903
"All gyNae clinic, pritampura new delhi-51",28.6977712,77.1190151
"origyn fertility and IVF, 4th floor, pritam pura, ND-34",28.6931679,77.1491382
"bhatia hospital, A-25, adarsh Nagar ND-33",27.8112353,75.8464314
"ANand maya multispecialist hospital, A-94, adarsh Nagar ND-33",28.7296369,77.1576871
"bansal global hospital, A block adarsh Nagar ND-33",28.7273111,77.1598166
"Aarohi medicity, new cottage Rd, adarsh Nagar ND-33",28.7224102,77.1695859
"sehgal nursing home, block A, adarsh Nagar, ND-33",28.7144729,77.1700891
"sehgal nursing home, block A, adarsh Nagar, ND-33",28.7144729,77.1700891
"shanti kumud hospital, A-8, adarsh Nagar ND-33",28.7174649,77.1677311
"Ishan hospital, B/8, rohini ND-89",28.7226868,77.1047112
"gupta clinic, BA 48,shalimar bagh ND-88",28.7155014,77.1541117
"shitri rog visesagya, shalimar bagh",28.7095598,77.1673375
"clinic, rajinder Nagar",28.6386975,77.1765936
"Raj clinic , 3167, chuNa mandi, paharganj karol bagh ND-55",28.6435462,77.2085021
"Vohra clinic, 9A/24, dilshad gardan ND-05",28.6391309,77.228117
"sant nirankari charitable hospitals, avtar marg, mukherjee Nagar ND-09",28.7154941,77.2026155
"nulife hospital, 1616, banda bahadur marg, gtb Nagar, ND-09",25.2649573,70.2291275
"hans charitable hospital, baba 2001-2, banda bahadur marg, ND-09",28.7000972,77.2056497
"khaushik clinic, 18/15, kishan Nagar, ND-07",28.7381771,75.2858655
"medi care hospital, FA-39/40, okhla, ND-25",28.5497711,77.2936955
"mother care, kamla Nagar",28.561247,77.250553
"Ayoni cure de jouvence, F-14/69, model town ND-09",30.5592546,-56.2829492
"women's clinic, lajpat Nagar 3, ND-24",28.5673083,77.2313541
"knight clinic, A1,19 safdarjung enclave ND-29",28.5657667,77.1931465
"irene ivf center, B4/42,safdarjung enclave ND-29",28.5655686,77.1927366
"maanmati polyclinc, H Na-10, arjun Nagar, ND-29",30.4892733,-56.3011856
"SadhaNa Medical center, 24/13-14, Patel Nagar ND-08",28.6515214,77.1529115
"PSRI hospital, pocket J, phase-II, sheikh sarai ND-17",28.533387,77.2227505
"IVY health & infertility center, badarpur",28.5000133,77.3082848
"Divine clinic, A-41, sukhfdev vihar, ND_25",28.5617378,77.2701702
"care&cure poly clinc, F-18/2,okhla ND-25",28.5622151,77.284734
"shalini clinic, sarita vihar",28.5301146,77.2883399
"faiz medical center, okhla",28.5563889,77.284215
"asha surgical& medical center, 143, deoli , sangar vihar, ND_62",19.8260403,65.8062902
"sabrawal clinic, 22, netaji subhash marg, daryaganj, ND_02",28.6442237,77.2370829
"makhija clinic, mukherjee Nagar ND-09 ",28.7119171,77.2136723
"joyce ivf center, HG,83, kirti Nagar, ND-15",28.6503627,77.1414731
"rainbow hospital, block A, malviya Nagar, ND-17",28.529339,77.202119
"wellskool, I-102, kirti Nagar, ND-15",28.6469027,77.1359641
"afgc infertilty clinic, moolchand crossing near lajpat Nagar-24",28.5688805,77.2340113
"Jain clinic, pritampura",28.7126809,77.1382399
"sethi hospital, kalma market",45.6127424,-121.1751185
"patel nursing home, laxmi negar,shakarpur",28.6306718,77.2755332
"Dr. gs patel clinic, laxmi negar,shakarpur",28.6258125,77.2780198
"Dr. rukmani aranya, laxmi negar,shakarpur",28.6731021,77.1569955
"somdatt medical centre, laxmi negar,shakarpur",28.6293858,77.2741397
"NarenDr.a prakash hospital, laxmi negar,shakarpur",28.6335999,77.2780778
"sharma nursing home, laxmi negar,shakarpur",28.6322916,77.278001
"sharma nursing home, laxmi negar,shakarpur",28.6322916,77.278001
"makkar hospital, A 1,2, Patparganj Rd, Near Priyadarshini Vihar Metroplex East Mall, Priyadarshini Vihar, Mohan Park, Laxmi Nagar, Delhi, 110092",28.6409618,77.2799778
"lifeline hospital, A-13, Patparganj Rd, Near Sai baba mandir, Priyadarshini Vihar, Mohan Park, Laxmi Nagar, New Delhi, Delhi 110092",28.642039,77.2792764
"muskan clinic, B - 201, Priyadarshini Vihar, Priya Priyadarshini Vihar, Laxmi Nagar, New Delhi, Delhi 110092",28.6421748,77.2764942
"rs grover memorial hospital, B-243, Priyadarshini Vihar, Priya Priyadarshini Vihar, Laxmi Nagar, New Delhi, Delhi 110092",28.6426051,77.2748739
"Dr. R.dogra clinic, laxmi negar",28.6180901,77.2802659
"Dr. sangeeta clinic, rashid market",28.6477984,77.2787777
"rk kundan hospita, patparganj",28.6180931,77.284237
"new life multi specialty hospital, block rz palam new delhi",28.5451598,77.0184433
"new life multi specialty hospital, block rz palam new delhi",28.5451598,77.0184433
"lifeline hospital, nirman vihar",28.642039,77.2792764
"malik radix healthcare, nirman vihar",28.6354616,77.2856256
"jd medical centre, 1/4649/8A, Jagatpuri, Shahdara, Delhi, 110032",28.6874835,77.2970003
"Dr. bela dhiwan, Main Mandoli Rd, Ram Nagar Market, Ram Nagar Extension, Ram Nagar, Shahdara, Delhi, 110032",28.686309,77.2918051
"vaid maternity centre, shahDr.a",28.6848393,77.2895374
"mahalaxmi hospital, 1449p-8 main road 100 ft road durgapuri,shahDr.a",28.6892658,77.2937871
"cm patel hospital, shahDr.a",28.689412,77.2865451
"Aashirwad Hospital, 5-6 KrishNa market  jhilmil colony ",28.6692738,77.3045998
"redcross hospital, New Seemapuri Rd, Pocket E, Dilshad Colony New Simapuri, Dilshad Garden, Delhi, 110095",28.6779422,77.3200427
"mahesh hospital,  D-437, Patparganj Societies Complex, West ViNad Nagar InDr.aprastha Extension, Block D, Mandawali, New Delhi, Delhi 110092",28.6264494,77.2998077
"Dr. vandaNa agarwal, joshy colony,mandawali",28.6269186,77.297371
"roopali medical centre, C-4/77A, Block C, YamuNa Vihar, Shahdara, New Delhi, Delhi 110053",28.7015605,77.2796971
"saini nursing home, b 8 saket new delhi ",28.5260823,77.2045965
"holy clinic, hospital road jangpura bhogal",28.5843872,77.2449225
"aashray mother n child clinic, 37 TO 54, Pocket D, Block A, GTB Enclave, Dilshad Garden, Delhi, 110093",28.6906168,77.3076124
"Dr. bhajan kaur, B-102, Gali Number 10, near Kukreja Hospital, Block B, Shashi Garden, Mayur Vihar, New Delhi, Delhi 110091",28.6091287,77.2966538
"Dr. durgesh suri, a-17 acharya niketan mayurvihar 1 110091",28.6038968,77.2960107
"Women child care, 6092/1 pocket 6 sec d vasant kunj",28.5299673,77.143319
"kiran medical centre, 86A, Pocket A2,, Mayur Vihar Phase 3, Delhi, 110096",28.613256,77.3352414
"redcross hospital, Aradhak Marg, Chikamberpur Village, Chikamberpur, New Delhi, Delhi 110095",28.6779422,77.3200427
"mata roop rani maggo hospital, c-9 om vihar uttam Nagar",28.6210893,77.0481105
"care and cure clinic, G-221, Block G, Old Seemapuri, Delhi, Uttar Pradesh 110095",28.6822515,77.3202503
"sri krishNa mother n child clinic, L-76/A, Pocket L Dilshad Garden Rd, Block F, Dilshad Garden, Delhi, 110095",28.6823232,77.3204315
"shubham medical centre, M.I.G. Flats, 392-A, Pocket J & K, Dilshad Garden, Delhi, Uttar Pradesh 110095",28.6817674,77.3206358
"kiran medical centre, 86A, Pocket A2,, Mayur Vihar Phase 3, Delhi, 110096",28.613256,77.3352414
"aashta medical centre, 9A, A-2 A-3 Rd, near Phase- III, Pocket A 2, Mayur Vihar Phase III, Gharoli, New Delhi, Uttar Pradesh 110096",28.6131751,77.3355181
"Dr. gupta family clinic, 155A, Jhilmil DDA LIG Flats, Satyam Enclave, Delhi 110095",28.6685571,77.3073383
"kukreja hospital, D 36, Block C, Acharya Niketan, Mayur Vihar, New Delhi, Delhi 110091",28.6092434,77.2921949
"kukreja hospital, D 36, Block C, Acharya Niketan, Mayur Vihar, New Delhi, Delhi 110091",28.6092434,77.2921949
"mehta hospital, f 1 108 virat vihar ambedkar road ",28.523375,77.2287041
"triton hospital , cc 30 block c nd",28.5471619,77.2521504
"Dr mohini soni, pkt 6 vasant kunj",28.5257346,77.1487123
"parmeshwari devi hospital, pocket 5 vasant kunj",28.5267225,77.1496491
"hygiea hospital, 210/a rama market munirka",28.5576499,77.1693912
"hygiea hospital, 210/a rama market munirka",28.5576499,77.1693912
"Shubham hospital, dd15 kalkaji new delhi",28.5434715,77.2561134
"Shubham hospital, dd15 kalkaji new delhi",28.5434715,77.2561134
"jivan jyoti hospital, 118A/1 , GTB chowk, near GTB Hospital, Dilshad Garden, New Delhi, Delhi 110095",28.6820542,77.309919
"Dr..roshan lala hospital, L-1, Navin Shahdara, Shahdara, New Delhi, Delhi 110032",28.6761493,77.2818795
"Mridula Gupta, B-9 kaushambi",28.642087,77.3231023
"Alshifa multispecialty hospital, D-305 Abuk Fazal Enclave Okhla New Delhi",28.5568465,77.2901085
"Dr. seema gupta, main road joshy colony",28.8093572,114.0473637
"Dr. sahida, B-33, Street Number 3, New Govindpura, KrishNa Nagar, Delhi, 110051",28.6539147,77.2795544
"Dr. reema digit clinic, Block A, Plot Na, 128, Mandawali Main Rd, Fazalpur, Mandawali, New Delhi, Delhi 110092",28.6277591,77.2906634
"Dr. asma parveen, laxmi negar",45.6127424,-121.1751185
"perfect tyagi hospital, 78 A Opposite IHBAS C-Block Near post office, Dilshad Garden, New Delhi, Delhi 110095",28.6786015,77.3046287
"ESIC hospital, Block D, Jhilmil Colony, Delhi, 110095",28.6692122,77.3058495
"kapoor hospital, F-20, near Chawla Medicos, Dilshad Colony, Delhi, Uttar Pradesh 110095",28.682568,77.3250899
"sai nursing home, D-8 Main Market Opp. State Bank Of patiyala, Old Kondli, Delhi 110096",28.6132804,77.3207686
"redcross hospital, Aradhak Marg, Chikamberpur Village, Chikamberpur, New Delhi, Delhi 110095",28.6779422,77.3200427
"muskan maternity and fertility clinic, F 27, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092",28.6375705,77.3005871
"moonga medical centre, block j, J-10, New KrishNa Nagar, Delhi, 110051",28.658436,77.2840727
"bansal clinic, F-73, B-2, Mangal Bazar Rd, Block F, Laxmi Nagar, Delhi, 110092",28.636986,77.2771695
"Narula hospital, Narula Medicare, Patparganj Rd, Block C, Madhuban Enclave, Preet Vihar, New Delhi, Delhi 110092",28.6310086,77.2837643
"malhotra clinic, NarwaNa Rd, Madhu Vihar, I.P.Extension, Patparganj, Delhi, 110092",28.6349525,77.3017082
"lokpriya nursing home, A-133, Vivek Vihar Rd, Vivek Vihar Phase 2, Vivek Vihar II, Mayur Vihar Phase II, Jhilmil Colony, Delhi, 110095",28.6696938,77.303182
"Aakash Hopsital, 90/43 Malviya Nagar",28.5350398,77.2122484
"gangaram hospital, Sir Ganga Ram Hospital Marg, Old Rajinder Nagar, New Rajinder Nagar, New Delhi, Delhi 110060",28.6385473,77.1881684
"Dr..sushma jindal hospital, 488-15, Dilshad Garden, Near Radha Krishan Mandir, Dilshad Garden, New Delhi, Delhi 110092",28.6790387,77.3122506
"Dr..sindujatiwari, 18-A, Pocket H, Dilshad Garden, Delhi, 110095",28.6629442,77.2657908
"shiv ultrasound centre n mother care clinic, Scooter market, A -76, Street Number 8, Rajgarh Colony, near jheel, SataNam Marg, Delhi, 110031",28.6602355,77.2724331
"asija medical centre, laxmi negar",28.6510708,77.2730404
"angle agastya multi specialty hospital, block rz palam new delhi",28.5870745,77.0832078
"Dr..sneha shree, B-110, Main 100 Feet Rd, West Jyoti Nagar, Durgapuri Extension, Shahdara, Delhi, 110032",28.6891441,77.2858676
"srivastav medical centre, Street Number 8, Block C, Bhajanpura, Shahdara, Delhi, 110053",28.7116524,77.2356365
"Dr..deepti h.maithani, I Pocket, Dilshad Garden, Delhi, Uttar Pradesh 110095",28.6788287,77.3194851
"Dr..neelu mahajan, b, Deluxe Apartments, Paryatan Vihar, Vasundhara Enclave, New Delhi, Delhi 110096",28.6004175,77.3123747
"Dr..usha gupta, 155A, Jhilmil DDA LIG Flats, Satyam Enclave, Delhi 110095",28.6675043,77.3029456
"Dr. sapNa verma, Gharoli Main Rd, Kondli Extension, Kondli, Delhi, 110096",28.613454,77.3208171
"Dr. hiNa, metro health care centre, aashok negar",13.0317665,80.2131897
"Dr. vibha bansal, E-411 A, Near Hanuman Mandir, Taksal Rd, New Ashok Nagar, 110096",28.5919758,77.3043015
"Dr..pooNam goel, C-3 63A, police station, opp. Gokalpuri, YamuNa Vihar, Delhi, 110053",28.6746092,77.2625545
"Dr..payal chakraborty,bless healthcare, dilshad garden",28.6130931,77.1666432
"Dr..vandaNa vasistt, vasihst chikitsalya nd maternity centre, C3/68A, Block C, YamuNa Vihar, Gokalpuri, Delhi, 110053",28.7016858,77.2777926
"Dr..pragya garg, maxwell medical, A-2, G-2, Block A, Dilshad Garden, Delhi, 110095",28.6749675,77.3079583
"Dr..sinduja tiwari, 18-A, Pocket H, Dilshad Garden, Delhi, 110095",28.6629442,77.2657908
"Dr..jahnvi, gupta nursing home, 25, Raj Block, Navin Shahdara, West Rohtash Nagar, Delhi, 110032",28.6760844,77.2853053
"Dr..riNa khanelwal, khandelwal hospital, B-16, Main Road, East KrishNa Nagar, East KrishNa Nagar, New Delhi, Delhi 110051",28.6594081,77.2857999
"Dr..dipti Nabh, Jain Mandir, 20, Old ANarkali, Near, Radheypuri, KrishNa Nagar, New Delhi, Delhi 110051",28.6556933,77.2854207
"Dr..neelam prasad, B-26 & 27, Block H, Guru NaNak Pura, Laxmi Nagar, Delhi, 110092",28.6063273,77.2134701
"Dr..aditi acharya, preetvihar",28.633285,77.2784581
"Dr..leeNa , wellness clinic, 286-B, Peer wali Galli, near Aster Public School, Patparganj, Delhi, 110091",28.6096182,77.2893662
"Dr..pooNam sehgal, manglam medical centre, E-131, Dilshad Garden, Delhi - 110095, Opposite to LIC Colony ",28.6793772,77.3192249
"Dr..leela rajan, 56A, Main Road, Mayur Vihar Phase 1, Delhi - 110091, Opposite Jivan Anmol Hospital",28.6071671,77.2948966
"Dr..savita jain,sanjeevini diagNastic and medical centre, 399-B, Pocket 2, Mayur Vihar, Mayur vihar, Delhi 110091",28.6082679,77.3009242
"Dr..rachita virmani, virmani hospital, Mayur Vihar Phase II, Mayur Vihar, Delhi, 110091",28.6196057,77.2987369
"C/O Noble Clinic, C- 39, East Krishna Nagar, Krishna Nagar, Delhi - 110051",28.6546645,77.2813512
"Dr. tata gabriyal, H-190A, Pocket H, Dilshad Garden, Delhi, 110095",28.68091,77.3162417
"Dr..ashu agarwal, KrishNa Marg Road, 400, Gali Number 1, Block D, Ganesh Nagar II, Shakarpur, New Delhi, Delhi 110092",28.628666,77.2809226
"Dr..sobha chadda, chadda clinic, Flat 112, Dhruv Apartment, Laxmi Nagar, Laxmi Nagar, behind Mother Dairy, New Delhi, Delhi 110092",28.6210222,77.2905136
"Dr..abha sharma, ganesh chikitsalaya, 743, Mandawali Main Rd, Fazalpur, Block A, Mandawali, Delhi, 110092",28.6318102,77.2915037
"Dr..rekha kapoor, Pocket 2, Kotla, Mayur Vihar, New Delhi, Delhi 110091",28.6098207,77.3002931
"Dr. rekha gupta, 19A, R R Medical Centre Campus, Neelm Maata Road, Pocket B, Mayur Vihar Phase II, Mayur Vihar, New Delhi, Delhi 110091",28.6191251,77.2982306
"Dr. abhilasha , Pocket B, A-125, Mayur Vihar Phase II, Delhi, 110091",28.6201817,77.300655
"Dr. nidhi agarwal, mahesh hospital, metro station, D-437, Patparganj Societies Complex, West ViNad Nagar InDr.aprastha Extension, Block D, Mandawali, New Delhi, Delhi 110092",28.6263078,77.3001958
"Dr. amiNa hussain, Navin Shahdara, Shahdara, Delhi, 110032",28.6770463,77.2818988
"Nestiva Hospital, 1402, Baba Fatehsingh Marg, Govindpuri",28.5444734,77.1512589
"Nestiva Hospital, 1402, Baba Fatehsingh Marg, Govindpuri",28.5444734,77.1512589
"Nestiva Hospital, 1402, Baba Fatehsingh Marg, Govindpuri",28.5444734,77.1512589
"Nestiva Hospital, 1402, Baba Fatehsingh Marg, Govindpuri",28.5444734,77.1512589
"bhagat chandra hospital, rz f1 mahavir enclave palam dabri marg",28.593264,77.0787012
"bhagat chandra hospital, rz f1 mahavir enclave palam dabri marg",28.593264,77.0787012
"bhagat chandra hospital, rz f1 mahavir enclave palam dabri marg",28.593264,77.0787012
"Sukhmani Hospital, Near 245P sector 38 Bakhtawar chowk gurgaon 122001",28.4341863,77.0456617
"Mother's Clinic & Ultrasound centre, Shop No. 13 Jarsa rd HVPNL colony sector 15 Gurgaon 122022",28.4558448,77.0350567
"Park Hospital, park Hospital Q block South City 2 SohNa Rd main Sector 47 Gurgaon HaryaNa 122001",28.4199848,77.0457479
"NaVJEEVAN HOSPITAL, Basai Road Shakti Nager Gurgoan HaryaNa 122006",28.4570489,77.011603
"VARDHMAN MEDICARE CENTRE, Vardhman Medicare Centre 239 sector 5 Shetla Mata mandir road Gurgaon HaryaNa 122001",28.4834187,77.0152622
"Pratiksha Hospital, Pratiksha Hospital Golf Course Ext Rd. Sushant Lok II Sector 56 Gurgoan HaryaNa 122011",28.4187004,77.0949006
"BIBHUTI Women's Clinic, Bibbhuti Women's Clinic  A 5   first Floor Palam Vyapar Kendra Palam Vihar Gurgaon HaryaNa 122017",28.5083446,77.0286961
"JANaNI CLINIC, JANaNI CLINIC C-103 First Floor Palam Vihar Vyapar Kendra Gurgoan HaryaNa 122017",28.5088541,77.0286397
"SWASTHYAM, 1699 Lower Ground Floor Ardee City Gate Number 2 Rd Sector 52 Gurgaon HaryaNa 122003",28.4414677,77.0799276
"NEELKANTH HOSPITAL,  NEELKANTH HOSPITAL NR 38 main Nathupur road DLF phase 3 Gurgaon 122002",28.4833409,77.1051519
"BIHAR clinic, Bihar Clinic U block dlf phase 3 gurgaon sector 24",28.4933938,77.0942773
"Women & Skin Care , Women & Skin Care Street No. 1  U block dlf phase 3 sector 18 Gurgaon 122010",28.4911666,77.0897767
"Dr. Nirmal KrishNan, 17/707 Heritage City Peripheri Rd. Heritage City Sector 25 Gurgaon 122002",28.4844016,77.0555042
"Sukhmani Hospital, Near 245P sector 38 Bakhtawar chowk gurgaon 122001",28.4341863,77.0456617
"C.K Birla Hospita, CK Birla Hospital Block J , Bayfield Garden sector 51 Gurgaon 122018",28.4228053,77.0602456
"Dayal Hospital, Shop No. 15  Jharsa rd  sector 15 Gurgaon 122022",28.4589998,77.0384633
